INFO 2025-06-23 06:26:13,247 autoreload 10 281473503309856 Watching for file changes with StatReloader
INFO 2025-06-23 06:28:20,472 autoreload 9 281473538203680 Watching for file changes with StatReloader
INFO 2025-06-23 06:37:33,808 autoreload 10 281473530187808 Watching for file changes with StatReloader
INFO 2025-06-23 06:39:38,998 autoreload 10 281473327026208 Watching for file changes with StatReloader
INFO 2025-06-23 06:59:29,880 autoreload 10 281473445752864 Watching for file changes with StatReloader
INFO 2025-06-23 07:08:54,523 autoreload 9 281472946946080 Watching for file changes with StatReloader
INFO 2025-06-23 07:09:41,244 autoreload 10 281473202429984 Watching for file changes with StatReloader
ERROR 2025-06-23 07:32:16,413 exception 10 281473124987296 Invalid HTTP_HOST header: 'django:8000'. You may need to add 'django' to ALLOWED_HOSTS.
Traceback (most recent call last):
  File "/usr/local/lib/python3.11/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/usr/local/lib/python3.11/site-packages/django/utils/deprecation.py", line 133, in __call__
    response = self.process_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/local/lib/python3.11/site-packages/django/middleware/common.py", line 48, in process_request
    host = request.get_host()
           ^^^^^^^^^^^^^^^^^^
  File "/usr/local/lib/python3.11/site-packages/django/http/request.py", line 150, in get_host
    raise DisallowedHost(msg)
django.core.exceptions.DisallowedHost: Invalid HTTP_HOST header: 'django:8000'. You may need to add 'django' to ALLOWED_HOSTS.
WARNING 2025-06-23 07:32:16,441 log 10 281473124987296 Bad Request: /api/upload/
INFO 2025-06-24 02:04:31,221 basehttp 9 281473041101216 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-06-24 02:04:31,224 basehttp 9 281473051586976 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-06-24 02:04:31,224 basehttp 9 281473062072736 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-06-24 02:04:31,225 basehttp 9 281472961409440 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-06-24 02:04:31,228 basehttp 9 281473062072736 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-06-24 02:04:31,228 basehttp 9 281473051586976 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-06-24 02:04:31,230 basehttp 9 281472961409440 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-06-24 02:04:31,232 basehttp 9 281472940437920 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-06-24 02:04:31,235 basehttp 9 281472950923680 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-06-24 02:04:31,236 basehttp 9 281473041101216 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
